date,sunrise_pacific,sunset_pacific,lat,lon
2004-03-05,2004-03-05T14:49:51Z,2004-03-06T02:10:32Z,47.01695,-124.35685
2004-03-09,2004-03-09T14:44:14Z,2004-03-10T02:20:29Z,45.00145,-125.15355
2004-03-17,2004-03-17T14:26:38Z,2004-03-18T02:28:17Z,43.82315,-124.5054
2004-03-17,2004-03-17T14:26:45Z,2004-03-18T02:28:23Z,44.01495,-124.5312
2008-08-14,2008-08-14T13:27:44Z,2008-08-15T03:03:58Z,37.05755,-122.4757
2014-08-15,2014-08-15T13:28:19Z,2014-08-16T03:19:08Z,41.4426,-124.46575
2014-08-23,2014-08-23T13:33:59Z,2014-08-24T02:48:53Z,35.75325,-121.839
2015-04-18,2015-04-18T13:36:32Z,2015-04-19T02:59:01Z,39.82525,-124.33615
2015-06-21,2015-06-21T12:42:37Z,2015-06-22T03:03:50Z,33.25185,-117.5496
2015-06-24,2015-06-24T12:51:32Z,2015-06-25T03:17:45Z,34.2179,-120.2519
2015-06-25,2015-06-25T12:51:55Z,2015-06-26T03:17:54Z,34.205,-120.26775
2015-06-26,2015-06-26T12:53:06Z,2015-06-27T03:23:04Z,34.96895,-121.01385
2015-06-26,2015-06-26T12:53:20Z,2015-06-27T03:23:08Z,34.93775,-121.05045
2015-06-27,2015-06-27T12:53:07Z,2015-06-28T03:24:37Z,35.2889,-121.16015
2015-06-28,2015-06-28T12:54:55Z,2015-06-29T03:29:36Z,35.91225,-121.95885
2015-06-30,2015-06-30T12:55:45Z,2015-07-01T03:31:48Z,36.2915,-122.2435
2015-07-09,2015-07-09T12:58:59Z,2015-07-10T03:32:46Z,36.9741,-122.39715
2015-07-09,2015-07-09T12:58:52Z,2015-07-10T03:33:05Z,37.05035,-122.4216
2015-07-10,2015-07-10T13:00:42Z,2015-07-11T03:35:51Z,37.38495,-122.96185
2015-07-11,2015-07-11T13:00:55Z,2015-07-12T03:38:13Z,37.9423,-123.24955
2015-07-12,2015-07-12T13:01:20Z,2015-07-13T03:40:58Z,38.53715,-123.61355
2016-08-28,2016-08-28T13:37:15Z,2016-08-29T02:40:17Z,35.59105,-121.5514
2016-08-28,2016-08-28T13:37:07Z,2016-08-29T02:40:28Z,35.7395,-121.557
2017-08-10,2017-08-10T13:23:04Z,2017-08-11T03:01:30Z,35.2235,-121.40755
2018-08-25,2018-08-25T13:37:28Z,2018-08-26T02:50:38Z,36.7169,-122.622
2018-09-07,2018-09-07T13:44:32Z,2018-09-08T02:27:39Z,35.95715,-121.6563
2018-09-13,2018-09-13T13:43:55Z,2018-09-14T02:12:02Z,34.0726,-120.1628
2018-09-17,2018-09-17T13:42:30Z,2018-09-18T02:01:54Z,33.40275,-119.08875
