scientific_name,quality.indic,FID,subsample_count,specimen_number,subsample_weight,remaining_weight,weight,cruise,ship,haul,collection,latitude,longitude,itis_tsn,sex,is_random_sample,standard_length,fork_length,total_length,mantle_length,start_latitude,start_longitude,stop_latitude,stop_longitude,equilibrium_time,haulback_time,surface_temp,surface_temp_method,ship_spd_through_water,presence_only,beginTransect,endTransect,quality.indic2
Sardinops sagax,1.111,238,50,51,9.745,217.527,0.095,200307,FR,11,2013,45.9993,-124.2613,161729,female,N,182,,,,45.9993,-124.2613,45.9996,-124.3153,2003-07-12T15:52:00Z,2003-07-12T16:22:00Z,16.9,bucket,3.5,N,"-124.2613,45.9993","-124.3153,45.9996",-8.634
Sardinops sagax,1.111,239,50,52,9.745,217.527,0.255,200307,FR,11,2013,45.9993,-124.2613,161729,female,N,257,,,,45.9993,-124.2613,45.9996,-124.3153,2003-07-12T15:52:00Z,2003-07-12T16:22:00Z,16.9,bucket,3.5,N,"-124.2613,45.9993","-124.3153,45.9996",-8.634
Sardinops sagax,1.111,240,50,53,9.745,217.527,0.265,200307,FR,11,2013,45.9993,-124.2613,161729,female,N,258,,,,45.9993,-124.2613,45.9996,-124.3153,2003-07-12T15:52:00Z,2003-07-12T16:22:00Z,16.9,bucket,3.5,N,"-124.2613,45.9993","-124.3153,45.9996",-8.634
Sardinops sagax,1.111,241,50,54,9.745,217.527,0.263,200307,FR,11,2013,45.9993,-124.2613,161729,male,N,261,,,,45.9993,-124.2613,45.9996,-124.3153,2003-07-12T15:52:00Z,2003-07-12T16:22:00Z,16.9,bucket,3.5,N,"-124.2613,45.9993","-124.3153,45.9996",-8.634
Sardinops sagax,1.111,242,50,55,9.745,217.527,0.233,200307,FR,11,2013,45.9993,-124.2613,161729,female,N,260,,,,45.9993,-124.2613,45.9996,-124.3153,2003-07-12T15:52:00Z,2003-07-12T16:22:00Z,16.9,bucket,3.5,N,"-124.2613,45.9993","-124.3153,45.9996",-8.634
Sardinops sagax,1.943,387,50,51,9.738,2101,0.045,200307,FR,22,2024,48,-124.9648,161729,female,N,149,,,,48,-124.9648,47.9975,-124.9143,2003-07-15T12:25:00Z,2003-07-15T12:55:00Z,15.4,bucket,3.4,N,"-124.9648,48","-124.9143,47.9975",-7.795
Sardinops sagax,1.943,388,50,52,9.738,2101,0.193,200307,FR,22,2024,48,-124.9648,161729,female,N,241,,,,48,-124.9648,47.9975,-124.9143,2003-07-15T12:25:00Z,2003-07-15T12:55:00Z,15.4,bucket,3.4,N,"-124.9648,48","-124.9143,47.9975",-7.795
Sardinops sagax,1.943,389,50,53,9.738,2101,0.204,200307,FR,22,2024,48,-124.9648,161729,female,N,242,,,,48,-124.9648,47.9975,-124.9143,2003-07-15T12:25:00Z,2003-07-15T12:55:00Z,15.4,bucket,3.4,N,"-124.9648,48","-124.9143,47.9975",-7.795
Sardinops sagax,1.943,390,50,54,9.738,2101,0.243,200307,FR,22,2024,48,-124.9648,161729,female,N,251,,,,48,-124.9648,47.9975,-124.9143,2003-07-15T12:25:00Z,2003-07-15T12:55:00Z,15.4,bucket,3.4,N,"-124.9648,48","-124.9143,47.9975",-7.795
Sardinops sagax,1.943,391,50,55,9.738,2101,0.187,200307,FR,22,2024,48,-124.9648,161729,female,N,231,,,,48,-124.9648,47.9975,-124.9143,2003-07-15T12:25:00Z,2003-07-15T12:55:00Z,15.4,bucket,3.4,N,"-124.9648,48","-124.9143,47.9975",-7.795
