cruise,ship,haul,collection,start_latitude,start_longitude,stop_latitude,stop_longitude,surface_temp,surface_temp_method,ship_spd_through_water,itis_tsn,scientific_name,subsample_count,subsample_weight,remaining_weight,presence_only,beginTransect,endTransect,haulback_time.utc,haulback_time.pacific,equilibrium_time.utc,equilibrium_time.pacific
200307,FR,1,2003,42.9816,-124.8413,43.0006,-124.893,13.3,bucket,3.5,82367,Teuthida,1,0.01,,N,"-124.8413,42.9816","-124.893,43.0006",2003-07-09T04:34:00Z,2003-07-09T04:34:00Z,2003-07-09T04:03:00Z,2003-07-09T04:03:00Z
200307,FR,1,2003,42.9816,-124.8413,43.0006,-124.893,13.3,bucket,3.5,82371,Doryteuthis opalescens,3,0.03,,N,"-124.8413,42.9816","-124.893,43.0006",2003-07-09T04:34:00Z,2003-07-09T04:34:00Z,2003-07-09T04:03:00Z,2003-07-09T04:03:00Z
200307,FR,1,2003,42.9816,-124.8413,43.0006,-124.893,13.3,bucket,3.5,159643,Salpida,,0.1,,N,"-124.8413,42.9816","-124.893,43.0006",2003-07-09T04:34:00Z,2003-07-09T04:34:00Z,2003-07-09T04:03:00Z,2003-07-09T04:03:00Z
200307,FR,1,2003,42.9816,-124.8413,43.0006,-124.893,13.3,bucket,3.5,161729,Sardinops sagax,,0.01,,N,"-124.8413,42.9816","-124.893,43.0006",2003-07-09T04:34:00Z,2003-07-09T04:34:00Z,2003-07-09T04:03:00Z,2003-07-09T04:03:00Z
200307,FR,1,2003,42.9816,-124.8413,43.0006,-124.893,13.3,bucket,3.5,161828,Engraulis mordax,,0.05,,N,"-124.8413,42.9816","-124.893,43.0006",2003-07-09T04:34:00Z,2003-07-09T04:34:00Z,2003-07-09T04:03:00Z,2003-07-09T04:03:00Z
200307,FR,1,2003,42.9816,-124.8413,43.0006,-124.893,13.3,bucket,3.5,168586,Trachurus symmetricus,,26,,N,"-124.8413,42.9816","-124.893,43.0006",2003-07-09T04:34:00Z,2003-07-09T04:34:00Z,2003-07-09T04:03:00Z,2003-07-09T04:03:00Z
200307,FR,7,2009,43.9993,-125.3766,43.9995,-125.3253,17.3,bucket,3.5,160424,Prionace glauca,1,50,,N,"-125.3766,43.9993","-125.3253,43.9995",2003-07-10T05:15:00Z,2003-07-10T05:15:00Z,2003-07-10T04:45:00Z,2003-07-10T04:45:00Z
200307,FR,7,2009,43.9993,-125.3766,43.9995,-125.3253,17.3,bucket,3.5,161828,Engraulis mordax,,0.4,,N,"-125.3766,43.9993","-125.3253,43.9995",2003-07-10T05:15:00Z,2003-07-10T05:15:00Z,2003-07-10T04:45:00Z,2003-07-10T04:45:00Z
200307,FR,7,2009,43.9993,-125.3766,43.9995,-125.3253,17.3,bucket,3.5,172419,Thunnus alalunga,2,9.1,,N,"-125.3766,43.9993","-125.3253,43.9995",2003-07-10T05:15:00Z,2003-07-10T05:15:00Z,2003-07-10T04:45:00Z,2003-07-10T04:45:00Z
200307,FR,7,2009,43.9993,-125.3766,43.9995,-125.3253,17.3,bucket,3.5,202423,Animalia,,1.06,,N,"-125.3766,43.9993","-125.3253,43.9995",2003-07-10T05:15:00Z,2003-07-10T05:15:00Z,2003-07-10T04:45:00Z,2003-07-10T04:45:00Z
200307,FR,8,2010,43.9988,-125.1018,43.9998,-125.024,15.3,bucket,3.5,82367,Teuthida,,3.4,,N,"-125.1018,43.9988","-125.024,43.9998",2003-07-10T07:11:00Z,2003-07-10T07:11:00Z,2003-07-10T06:41:00Z,2003-07-10T06:41:00Z
200307,FR,8,2010,43.9988,-125.1018,43.9998,-125.024,15.3,bucket,3.5,162575,Myctophidae,,10.2,,N,"-125.1018,43.9988","-125.024,43.9998",2003-07-10T07:11:00Z,2003-07-10T07:11:00Z,2003-07-10T06:41:00Z,2003-07-10T06:41:00Z
200307,FR,8,2010,43.9988,-125.1018,43.9998,-125.024,15.3,bucket,3.5,168586,Trachurus symmetricus,15,29.5,,N,"-125.1018,43.9988","-125.024,43.9998",2003-07-10T07:11:00Z,2003-07-10T07:11:00Z,2003-07-10T06:41:00Z,2003-07-10T06:41:00Z
200307,FR,13,2015,45.9986,-124.4251,45.9995,-124.4445,16.2,bucket,3.5,161828,Engraulis mordax,5,0.05,,N,"-124.4251,45.9986","-124.4445,45.9995",2003-07-12T12:24:00Z,2003-07-12T12:24:00Z,2003-07-12T12:09:00Z,2003-07-12T12:09:00Z
200307,FR,13,2015,45.9986,-124.4251,45.9995,-124.4445,16.2,bucket,3.5,161974,Oncorhynchus,2,1,,N,"-124.4251,45.9986","-124.4445,45.9995",2003-07-12T12:24:00Z,2003-07-12T12:24:00Z,2003-07-12T12:09:00Z,2003-07-12T12:09:00Z
200307,FR,13,2015,45.9986,-124.4251,45.9995,-124.4445,16.2,bucket,3.5,168586,Trachurus symmetricus,2,1.5,,N,"-124.4251,45.9986","-124.4445,45.9995",2003-07-12T12:24:00Z,2003-07-12T12:24:00Z,2003-07-12T12:09:00Z,2003-07-12T12:09:00Z
200307,FR,13,2015,45.9986,-124.4251,45.9995,-124.4445,16.2,bucket,3.5,202423,Animalia,,9.1,,N,"-124.4251,45.9986","-124.4445,45.9995",2003-07-12T12:24:00Z,2003-07-12T12:24:00Z,2003-07-12T12:09:00Z,2003-07-12T12:09:00Z
