cruise,ship,haul,collection,latitude,longitude,itis_tsn,scientific_name,specimen_number,sex,is_random_sample,weight,standard_length,fork_length,total_length,mantle_length,equilibrium_time.utc,equilibrium_time.pacific,start_latitude,start_longitude,stop_latitude,stop_longitude,surface_temp,surface_temp_method,ship_spd_through_water,subsample_count,subsample_weight,remaining_weight,presence_only,beginTransect,endTransect,haulback_time.utc,haulback_time.pacific,Species_weight,quality.indic,FID
200404,FR,5,2115,36.6801,-123.2186,161729,Sardinops sagax,52,male,,,160,177,194,,2004-04-23T12:14:00Z,2004-04-23T12:14:00Z,36.6801,-123.2186,36.6431,-123.2206,13.1,bucket,3.5,50,8.948,28.98,N,"-123.2186,36.6801","-123.2206,36.6431",2004-04-23T12:44:00Z,2004-04-23T12:44:00Z,37.928,,1652
200404,FR,5,2115,36.6801,-123.2186,161729,Sardinops sagax,53,male,,,160,180,195,,2004-04-23T12:14:00Z,2004-04-23T12:14:00Z,36.6801,-123.2186,36.6431,-123.2206,13.1,bucket,3.5,50,8.948,28.98,N,"-123.2186,36.6801","-123.2206,36.6431",2004-04-23T12:44:00Z,2004-04-23T12:44:00Z,37.928,,1653
200404,FR,5,2115,36.6801,-123.2186,161729,Sardinops sagax,54,male,,,167,182,204,,2004-04-23T12:14:00Z,2004-04-23T12:14:00Z,36.6801,-123.2186,36.6431,-123.2206,13.1,bucket,3.5,50,8.948,28.98,N,"-123.2186,36.6801","-123.2206,36.6431",2004-04-23T12:44:00Z,2004-04-23T12:44:00Z,37.928,,1654
200404,FR,5,2115,36.6801,-123.2186,161729,Sardinops sagax,55,female,,,168,186,201,,2004-04-23T12:14:00Z,2004-04-23T12:14:00Z,36.6801,-123.2186,36.6431,-123.2206,13.1,bucket,3.5,50,8.948,28.98,N,"-123.2186,36.6801","-123.2206,36.6431",2004-04-23T12:44:00Z,2004-04-23T12:44:00Z,37.928,,1655
200404,FR,5,2115,36.6801,-123.2186,161729,Sardinops sagax,56,female,,,157,178,192,,2004-04-23T12:14:00Z,2004-04-23T12:14:00Z,36.6801,-123.2186,36.6431,-123.2206,13.1,bucket,3.5,50,8.948,28.98,N,"-123.2186,36.6801","-123.2206,36.6431",2004-04-23T12:44:00Z,2004-04-23T12:44:00Z,37.928,,1656
200503,FR,12,2205,47.0015,-124.341,161729,Sardinops sagax,51,unknown,Y,,98,106,,,2005-03-07T06:51:00Z,2005-03-07T06:51:00Z,47.0015,-124.341,46.9713,-124.3416,10.3,bucket,3.3,50,0.3765,0.753,N,"-124.341,47.0015","-124.3416,46.9713",2005-03-07T07:21:00Z,2005-03-07T07:21:00Z,1.1295,,3018
200503,FR,12,2205,47.0015,-124.341,161729,Sardinops sagax,52,unknown,Y,,89,97,,,2005-03-07T06:51:00Z,2005-03-07T06:51:00Z,47.0015,-124.341,46.9713,-124.3416,10.3,bucket,3.3,50,0.3765,0.753,N,"-124.341,47.0015","-124.3416,46.9713",2005-03-07T07:21:00Z,2005-03-07T07:21:00Z,1.1295,,3019
200503,FR,12,2205,47.0015,-124.341,161729,Sardinops sagax,53,unknown,Y,,94,103,,,2005-03-07T06:51:00Z,2005-03-07T06:51:00Z,47.0015,-124.341,46.9713,-124.3416,10.3,bucket,3.3,50,0.3765,0.753,N,"-124.341,47.0015","-124.3416,46.9713",2005-03-07T07:21:00Z,2005-03-07T07:21:00Z,1.1295,,3020
200503,FR,12,2205,47.0015,-124.341,161729,Sardinops sagax,54,unknown,Y,,79,87,,,2005-03-07T06:51:00Z,2005-03-07T06:51:00Z,47.0015,-124.341,46.9713,-124.3416,10.3,bucket,3.3,50,0.3765,0.753,N,"-124.341,47.0015","-124.3416,46.9713",2005-03-07T07:21:00Z,2005-03-07T07:21:00Z,1.1295,,3021
200503,FR,12,2205,47.0015,-124.341,161729,Sardinops sagax,55,unknown,Y,,80,87,,,2005-03-07T06:51:00Z,2005-03-07T06:51:00Z,47.0015,-124.341,46.9713,-124.3416,10.3,bucket,3.3,50,0.3765,0.753,N,"-124.341,47.0015","-124.3416,46.9713",2005-03-07T07:21:00Z,2005-03-07T07:21:00Z,1.1295,,3022
200503,FR,12,2205,47.0015,-124.341,161729,Sardinops sagax,56,unknown,Y,,96,104,,,2005-03-07T06:51:00Z,2005-03-07T06:51:00Z,47.0015,-124.341,46.9713,-124.3416,10.3,bucket,3.3,50,0.3765,0.753,N,"-124.341,47.0015","-124.3416,46.9713",2005-03-07T07:21:00Z,2005-03-07T07:21:00Z,1.1295,,3023
200503,FR,45,2238,43.3318,-124.7621,161729,Sardinops sagax,51,unknown,Y,,144,158,,,2005-03-18T05:18:00Z,2005-03-18T05:18:00Z,43.3318,-124.7621,43.361,-124.7551,11.8,bucket,3.3,50,3.847,62.7,N,"-124.7621,43.3318","-124.7551,43.361",2005-03-18T05:48:00Z,2005-03-18T05:48:00Z,66.547,,3252
200503,FR,45,2238,43.3318,-124.7621,161729,Sardinops sagax,52,unknown,Y,,180,190,,,2005-03-18T05:18:00Z,2005-03-18T05:18:00Z,43.3318,-124.7621,43.361,-124.7551,11.8,bucket,3.3,50,3.847,62.7,N,"-124.7621,43.3318","-124.7551,43.361",2005-03-18T05:48:00Z,2005-03-18T05:48:00Z,66.547,,3253
200503,FR,45,2238,43.3318,-124.7621,161729,Sardinops sagax,53,unknown,Y,,178,188,,,2005-03-18T05:18:00Z,2005-03-18T05:18:00Z,43.3318,-124.7621,43.361,-124.7551,11.8,bucket,3.3,50,3.847,62.7,N,"-124.7621,43.3318","-124.7551,43.361",2005-03-18T05:48:00Z,2005-03-18T05:48:00Z,66.547,,3254
200503,FR,45,2238,43.3318,-124.7621,161729,Sardinops sagax,54,unknown,Y,,160,172,,,2005-03-18T05:18:00Z,2005-03-18T05:18:00Z,43.3318,-124.7621,43.361,-124.7551,11.8,bucket,3.3,50,3.847,62.7,N,"-124.7621,43.3318","-124.7551,43.361",2005-03-18T05:48:00Z,2005-03-18T05:48:00Z,66.547,,3255
200503,FR,45,2238,43.3318,-124.7621,161729,Sardinops sagax,55,unknown,Y,,164,173,,,2005-03-18T05:18:00Z,2005-03-18T05:18:00Z,43.3318,-124.7621,43.361,-124.7551,11.8,bucket,3.3,50,3.847,62.7,N,"-124.7621,43.3318","-124.7551,43.361",2005-03-18T05:48:00Z,2005-03-18T05:48:00Z,66.547,,3256
