scientific_name,quality.indic,FID,subsample_count,specimen_number,subsample_weight,remaining_weight,weight,cruise,ship,haul,collection,latitude,longitude,itis_tsn,sex,is_random_sample,standard_length,fork_length,total_length,mantle_length,start_latitude,start_longitude,stop_latitude,stop_longitude,equilibrium_time.utc,equilibrium_time.pacific,haulback_time.utc,haulback_time.pacific,surface_temp,surface_temp_method,ship_spd_through_water,presence_only,beginTransect,endTransect,quality.indic2,quality.indic3
Sardinops sagax,-0.092,136,51,1,9.527,0,0.218,200307,FR,9,2011,43.983,-125.0215,161729,male,Y,246,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,137,51,2,9.527,0,0.193,200307,FR,9,2011,43.983,-125.0215,161729,male,Y,247,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,138,51,3,9.527,0,0.219,200307,FR,9,2011,43.983,-125.0215,161729,male,Y,254,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,139,51,4,9.527,0,0.233,200307,FR,9,2011,43.983,-125.0215,161729,female,Y,262,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,140,51,5,9.527,0,0.12,200307,FR,9,2011,43.983,-125.0215,161729,female,Y,210,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,141,51,6,9.527,0,0.144,200307,FR,9,2011,43.983,-125.0215,161729,male,Y,220,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,142,51,7,9.527,0,0.191,200307,FR,9,2011,43.983,-125.0215,161729,male,Y,243,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,143,51,8,9.527,0,0.208,200307,FR,9,2011,43.983,-125.0215,161729,male,Y,240,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,144,51,9,9.527,0,0.216,200307,FR,9,2011,43.983,-125.0215,161729,female,Y,228,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,145,51,10,9.527,0,0.167,200307,FR,9,2011,43.983,-125.0215,161729,male,Y,222,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,146,51,11,9.527,0,0.201,200307,FR,9,2011,43.983,-125.0215,161729,female,Y,229,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,147,51,12,9.527,0,0.194,200307,FR,9,2011,43.983,-125.0215,161729,female,Y,232,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,148,51,13,9.527,0,0.226,200307,FR,9,2011,43.983,-125.0215,161729,female,Y,238,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,149,51,14,9.527,0,0.117,200307,FR,9,2011,43.983,-125.0215,161729,female,Y,194,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,150,51,15,9.527,0,0.145,200307,FR,9,2011,43.983,-125.0215,161729,male,Y,210,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,151,51,16,9.527,0,0.237,200307,FR,9,2011,43.983,-125.0215,161729,female,Y,243,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,152,51,17,9.527,0,0.201,200307,FR,9,2011,43.983,-125.0215,161729,female,Y,240,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,153,51,18,9.527,0,0.186,200307,FR,9,2011,43.983,-125.0215,161729,male,Y,226,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,154,51,19,9.527,0,0.244,200307,FR,9,2011,43.983,-125.0215,161729,female,Y,247,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,155,51,20,9.527,0,0.245,200307,FR,9,2011,43.983,-125.0215,161729,female,Y,245,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,156,51,21,9.527,0,0.199,200307,FR,9,2011,43.983,-125.0215,161729,female,Y,243,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,157,51,22,9.527,0,0.192,200307,FR,9,2011,43.983,-125.0215,161729,male,Y,237,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,158,51,23,9.527,0,0.217,200307,FR,9,2011,43.983,-125.0215,161729,male,Y,244,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,159,51,24,9.527,0,0.197,200307,FR,9,2011,43.983,-125.0215,161729,female,Y,237,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,160,51,25,9.527,0,0.245,200307,FR,9,2011,43.983,-125.0215,161729,female,Y,251,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,161,51,26,9.527,0,0.193,200307,FR,9,2011,43.983,-125.0215,161729,female,Y,233,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,162,51,27,9.527,0,0.262,200307,FR,9,2011,43.983,-125.0215,161729,female,Y,246,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,163,51,28,9.527,0,0.197,200307,FR,9,2011,43.983,-125.0215,161729,male,Y,229,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,164,51,29,9.527,0,0.184,200307,FR,9,2011,43.983,-125.0215,161729,male,Y,243,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,165,51,30,9.527,0,0.232,200307,FR,9,2011,43.983,-125.0215,161729,male,Y,238,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,166,51,31,9.527,0,0.128,200307,FR,9,2011,43.983,-125.0215,161729,male,Y,201,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,167,51,32,9.527,0,0.23,200307,FR,9,2011,43.983,-125.0215,161729,female,Y,246,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
Sardinops sagax,-0.092,168,51,33,9.527,0,0.139,200307,FR,9,2011,43.983,-125.0215,161729,female,Y,209,,,,43.983,-125.0215,44.0095,-124.9588,2003-07-10T07:36:00Z,2003-07-10T07:36:00Z,2003-07-10T08:06:00Z,2003-07-10T08:06:00Z,13.8,bucket,3.5,N,"-125.0215,43.983","-124.9588,44.0095",-0.092,-0.092
