collection;age;len.bin;Catch.wt;log1p.CPUE.trp;Year;Month;Season;time.step;geometry;equilibrium_time.pacific;standard_length;NBRE_IN;Total_N;LON;LAT;CatchWeightLen;keys;date
2061;0;100;1150.73545688695;7.74173813559534;2004;3;Spring;2004 - Spring;-124.3446|-124.3691|47.0006|47.0333;2004-03-05 02:18:00;8.5;50;2500;-124.35685;47.01695;1150.73545688695;206120043Springc(-124.3446, -124.3691, 47.0006, 47.0333)2004 - Spring2004-03-05 02:18:00;2004-03-05
2072;0;100;500.49871234381;6.90975071146947;2004;3;Spring;2004 - Spring;-125.1795|-125.1276|44.9998|45.0031;2004-03-09 02:17:00;8.1;50;2500;-125.15355;45.00145;13.6891780768168;207220043Springc(-125.1795, -125.1276, 44.9998, 45.0031)2004 - Spring2004-03-09 02:17:00;2004-03-09
2072;0;100;500.49871234381;6.90975071146947;2004;3;Spring;2004 - Spring;-125.1795|-125.1276|44.9998|45.0031;2004-03-09 02:17:00;8.5;50;2500;-125.15355;45.00145;15.9953553289018;207220043Springc(-125.1795, -125.1276, 44.9998, 45.0031)2004 - Spring2004-03-09 02:17:00;2004-03-09
2072;0;100;500.49871234381;6.90975071146947;2004;3;Spring;2004 - Spring;-125.1795|-125.1276|44.9998|45.0031;2004-03-09 02:17:00;8.6;100;2500;-125.15355;45.00145;33.2223810611649;207220043Springc(-125.1795, -125.1276, 44.9998, 45.0031)2004 - Spring2004-03-09 02:17:00;2004-03-09
2072;0;100;500.49871234381;6.90975071146947;2004;3;Spring;2004 - Spring;-125.1795|-125.1276|44.9998|45.0031;2004-03-09 02:17:00;8.7;50;2500;-125.15355;45.00145;17.243203277647;207220043Springc(-125.1795, -125.1276, 44.9998, 45.0031)2004 - Spring2004-03-09 02:17:00;2004-03-09
2072;0;100;500.49871234381;6.90975071146947;2004;3;Spring;2004 - Spring;-125.1795|-125.1276|44.9998|45.0031;2004-03-09 02:17:00;8.9;150;2500;-125.15355;45.00145;55.6700662694442;207220043Springc(-125.1795, -125.1276, 44.9998, 45.0031)2004 - Spring2004-03-09 02:17:00;2004-03-09
2072;0;100;500.49871234381;6.90975071146947;2004;3;Spring;2004 - Spring;-125.1795|-125.1276|44.9998|45.0031;2004-03-09 02:17:00;9;150;2500;-125.15355;45.00145;57.7158800714375;207220043Springc(-125.1795, -125.1276, 44.9998, 45.0031)2004 - Spring2004-03-09 02:17:00;2004-03-09
2072;0;100;500.49871234381;6.90975071146947;2004;3;Spring;2004 - Spring;-125.1795|-125.1276|44.9998|45.0031;2004-03-09 02:17:00;9.1;50;2500;-125.15355;45.00145;19.9376725636756;207220043Springc(-125.1795, -125.1276, 44.9998, 45.0031)2004 - Spring2004-03-09 02:17:00;2004-03-09
2072;0;100;500.49871234381;6.90975071146947;2004;3;Spring;2004 - Spring;-125.1795|-125.1276|44.9998|45.0031;2004-03-09 02:17:00;9.2;100;2500;-125.15355;45.00145;41.3081209627549;207220043Springc(-125.1795, -125.1276, 44.9998, 45.0031)2004 - Spring2004-03-09 02:17:00;2004-03-09
2072;0;100;500.49871234381;6.90975071146947;2004;3;Spring;2004 - Spring;-125.1795|-125.1276|44.9998|45.0031;2004-03-09 02:17:00;9.3;100;2500;-125.15355;45.00145;42.7760502827082;207220043Springc(-125.1795, -125.1276, 44.9998, 45.0031)2004 - Spring2004-03-09 02:17:00;2004-03-09
