cruise,ship,haul,collection,start_latitude,start_longitude,stop_latitude,stop_longitude,equilibrium_time,haulback_time,surface_temp,surface_temp_method,ship_spd_through_water,itis_tsn,scientific_name,subsample_count,subsample_weight,remaining_weight,presence_only
200307,FR,1,2003,42.9816,-124.8413,43.0006,-124.893,2003-07-08T20:03:00-08,2003-07-08T20:34:00-08,13.3,bucket,3.5,82367,Teuthida,1,0.01,NA,N
200307,FR,1,2003,42.9816,-124.8413,43.0006,-124.893,2003-07-08T20:03:00-08,2003-07-08T20:34:00-08,13.3,bucket,3.5,82371,"Doryteuthis opalescens",3,0.03,NA,N
200307,FR,1,2003,42.9816,-124.8413,43.0006,-124.893,2003-07-08T20:03:00-08,2003-07-08T20:34:00-08,13.3,bucket,3.5,159643,Salpida,NA,0.1,NA,N
200307,FR,1,2003,42.9816,-124.8413,43.0006,-124.893,2003-07-08T20:03:00-08,2003-07-08T20:34:00-08,13.3,bucket,3.5,161729,"Sardinops sagax",NA,0.01,NA,N
200307,FR,1,2003,42.9816,-124.8413,43.0006,-124.893,2003-07-08T20:03:00-08,2003-07-08T20:34:00-08,13.3,bucket,3.5,161828,"Engraulis mordax",NA,0.05,NA,N
200307,FR,1,2003,42.9816,-124.8413,43.0006,-124.893,2003-07-08T20:03:00-08,2003-07-08T20:34:00-08,13.3,bucket,3.5,168586,"Trachurus symmetricus",NA,26,NA,N
200307,FR,2,2004,43.0061,-124.9235,43.0008,-124.9746,2003-07-08T21:04:00-08,2003-07-08T21:34:00-08,13.3,bucket,3.5,82367,Teuthida,NA,0.9,NA,N
200307,FR,2,2004,43.0061,-124.9235,43.0008,-124.9746,2003-07-08T21:04:00-08,2003-07-08T21:34:00-08,13.3,bucket,3.5,161729,"Sardinops sagax",3,0.622,NA,N
200307,FR,2,2004,43.0061,-124.9235,43.0008,-124.9746,2003-07-08T21:04:00-08,2003-07-08T21:34:00-08,13.3,bucket,3.5,162575,Myctophidae,5,0.02,NA,N
200307,FR,2,2004,43.0061,-124.9235,43.0008,-124.9746,2003-07-08T21:04:00-08,2003-07-08T21:34:00-08,13.3,bucket,3.5,164792,"Merluccius productus",NA,672.7,NA,N
200307,FR,2,2004,43.0061,-124.9235,43.0008,-124.9746,2003-07-08T21:04:00-08,2003-07-08T21:34:00-08,13.3,bucket,3.5,165609,"Cololabis saira",3,0.3,NA,N
200307,FR,2,2004,43.0061,-124.9235,43.0008,-124.9746,2003-07-08T21:04:00-08,2003-07-08T21:34:00-08,13.3,bucket,3.5,168586,"Trachurus symmetricus",NA,9.1,NA,N
200307,FR,3,2005,43.0156,-125.0083,43.0156,-125.0613,2003-07-08T22:08:00-08,2003-07-08T22:38:00-08,14.3,bucket,3.5,82367,Teuthida,NA,0.1,NA,N
200307,FR,3,2005,43.0156,-125.0083,43.0156,-125.0613,2003-07-08T22:08:00-08,2003-07-08T22:38:00-08,14.3,bucket,3.5,161729,"Sardinops sagax",8,1.597,NA,N
200307,FR,3,2005,43.0156,-125.0083,43.0156,-125.0613,2003-07-08T22:08:00-08,2003-07-08T22:38:00-08,14.3,bucket,3.5,161977,"Oncorhynchus kisutch",1,5,NA,N
200307,FR,3,2005,43.0156,-125.0083,43.0156,-125.0613,2003-07-08T22:08:00-08,2003-07-08T22:38:00-08,14.3,bucket,3.5,164792,"Merluccius productus",NA,272.7,NA,N
200307,FR,3,2005,43.0156,-125.0083,43.0156,-125.0613,2003-07-08T22:08:00-08,2003-07-08T22:38:00-08,14.3,bucket,3.5,168586,"Trachurus symmetricus",NA,45,NA,N
200307,FR,3,2005,43.0156,-125.0083,43.0156,-125.0613,2003-07-08T22:08:00-08,2003-07-08T22:38:00-08,14.3,bucket,3.5,172412,"Scomber japonicus",1,0.1,NA,N
200307,FR,3,2005,43.0156,-125.0083,43.0156,-125.0613,2003-07-08T22:08:00-08,2003-07-08T22:38:00-08,14.3,bucket,3.5,172510,"Icichthys lockingtoni",1,0.03,NA,N
200307,FR,4,2006,43.0006,-125.0913,43.0003,-125.1395,2003-07-08T23:08:00-08,2003-07-08T23:38:00-08,14.5,bucket,3.5,160424,"Prionace glauca",1,50,NA,N
200307,FR,4,2006,43.0006,-125.0913,43.0003,-125.1395,2003-07-08T23:08:00-08,2003-07-08T23:38:00-08,14.5,bucket,3.5,161729,"Sardinops sagax",19,3.786,NA,N
