cruise,ship,haul,collection,latitude,longitude,time,itis_tsn,scientific_name,length_class,length_type,male,female,sex_Undetermined
200407,FR,2,2137,47.993,-125.17,2004-07-07T23:45:00-07,168586,"Trachurus symmetricus",580,FL,8,1,0
200407,FR,11,2146,47.0011,-125.1978,2004-07-11T00:13:00-07,168586,"Trachurus symmetricus",540,FL,0,1,0
200503,FR,38,2231,42.3358,-124.6736,2005-03-15T04:23:00-08,172412,"Scomber japonicus",210,FL,0,0,2
200503,FR,38,2231,42.3358,-124.6736,2005-03-15T04:23:00-08,172412,"Scomber japonicus",220,FL,0,0,1
200604,OD,6,2336,47.8026,-124.6728,2006-04-17T02:53:00-07,162049,"Spirinchus thaleichthys",70,FL,0,0,1
200604,OD,6,2336,47.8026,-124.6728,2006-04-17T02:53:00-07,162049,"Spirinchus thaleichthys",80,FL,0,0,5
200604,OD,6,2336,47.8026,-124.6728,2006-04-17T02:53:00-07,162053,"Allosmerus elongatus",80,FL,0,0,4
200604,OD,6,2336,47.8026,-124.6728,2006-04-17T02:53:00-07,162053,"Allosmerus elongatus",90,FL,0,0,33
200604,OD,6,2336,47.8026,-124.6728,2006-04-17T02:53:00-07,162053,"Allosmerus elongatus",100,FL,0,0,2
200604,OD,6,2336,47.8026,-124.6728,2006-04-17T02:53:00-07,162053,"Allosmerus elongatus",110,FL,0,0,1
200604,OD,6,2336,47.8026,-124.6728,2006-04-17T02:53:00-07,162053,"Allosmerus elongatus",120,FL,0,0,1
200604,OD,6,2336,47.8026,-124.6728,2006-04-17T02:53:00-07,162053,"Allosmerus elongatus",130,FL,0,0,1
200604,OD,6,2336,47.8026,-124.6728,2006-04-17T02:53:00-07,167108,Hexagrammidae,30,FL,0,0,1
200604,OD,6,2336,47.8026,-124.6728,2006-04-17T02:53:00-07,167108,Hexagrammidae,40,FL,0,0,4
200604,OD,6,2336,47.8026,-124.6728,2006-04-17T02:53:00-07,167108,Hexagrammidae,50,FL,0,0,2
200604,OD,6,2336,47.8026,-124.6728,2006-04-17T02:53:00-07,172715,Citharichthys,60,TL,0,0,1
200604,OD,6,2336,47.8026,-124.6728,2006-04-17T02:53:00-07,172715,Citharichthys,70,FL,0,0,1
200604,OD,6,2336,47.8026,-124.6728,2006-04-17T02:53:00-07,644358,"Podothecus accipenserinus",160,FL,0,0,1
200604,OD,10,2340,44.9313,-127.0715,2006-04-19T22:53:00-07,161977,"Oncorhynchus kisutch",500,FL,0,0,1
200604,OD,13,2343,41.885,-125.1666,2006-04-23T22:57:00-07,623625,"Lipolagus (Bathylagus) ochotensis",60,FL,0,0,2
200604,OD,13,2343,41.885,-125.1666,2006-04-23T22:57:00-07,623625,"Lipolagus (Bathylagus) ochotensis",70,FL,0,0,18
200604,OD,13,2343,41.885,-125.1666,2006-04-23T22:57:00-07,623625,"Lipolagus (Bathylagus) ochotensis",80,FL,0,0,9
200604,OD,13,2343,41.885,-125.1666,2006-04-23T22:57:00-07,623625,"Lipolagus (Bathylagus) ochotensis",90,FL,0,0,6
200604,OD,13,2343,41.885,-125.1666,2006-04-23T22:57:00-07,623625,"Lipolagus (Bathylagus) ochotensis",100,FL,0,0,1
200604,OD,13,2343,41.885,-125.1666,2006-04-23T22:57:00-07,623625,"Lipolagus (Bathylagus) ochotensis",110,FL,0,0,2
200604,OD,13,2343,41.885,-125.1666,2006-04-23T22:57:00-07,623625,"Lipolagus (Bathylagus) ochotensis",120,FL,0,0,1
200604,OD,17,2347,39.1245,-123.81,2006-04-25T23:50:00-07,164792,"Merluccius productus",130,FL,0,0,1
200604,OD,17,2347,39.1245,-123.81,2006-04-25T23:50:00-07,164792,"Merluccius productus",140,FL,0,0,2
200604,OD,17,2347,39.1245,-123.81,2006-04-25T23:50:00-07,164792,"Merluccius productus",150,FL,0,0,3
200604,OD,17,2347,39.1245,-123.81,2006-04-25T23:50:00-07,172412,"Scomber japonicus",200,FL,0,5,2
200604,OD,17,2347,39.1245,-123.81,2006-04-25T23:50:00-07,172412,"Scomber japonicus",210,FL,5,4,6
200604,OD,17,2347,39.1245,-123.81,2006-04-25T23:50:00-07,172412,"Scomber japonicus",220,FL,2,9,8
200604,OD,17,2347,39.1245,-123.81,2006-04-25T23:50:00-07,172412,"Scomber japonicus",230,FL,1,5,0
200604,OD,17,2347,39.1245,-123.81,2006-04-25T23:50:00-07,172412,"Scomber japonicus",240,FL,2,2,0
200604,OD,17,2347,39.1245,-123.81,2006-04-25T23:50:00-07,172412,"Scomber japonicus",260,FL,1,1,0
200604,OD,17,2347,39.1245,-123.81,2006-04-25T23:50:00-07,172412,"Scomber japonicus",280,FL,1,0,0
200604,OD,17,2347,39.1245,-123.81,2006-04-25T23:50:00-07,172565,"Peprilus simillimus",100,FL,0,0,1
200604,OD,17,2347,39.1245,-123.81,2006-04-25T23:50:00-07,551209,"Clupea pallasii",180,FL,0,0,1
200604,OD,22,2352,32.9691,-120.3396,2006-05-02T01:08:00-07,168586,"Trachurus symmetricus",300,FL,0,1,0
200604,OD,22,2352,32.9691,-120.3396,2006-05-02T01:08:00-07,173414,"Mola mola",420,FL,0,0,1
200604,OD,23,2353,33.203,-119.8446,2006-05-02T04:58:00-07,160424,"Prionace glauca",1400,FL,1,0,0
200604,OD,23,2353,33.203,-119.8446,2006-05-02T04:58:00-07,160833,"Torpedo californica",640,FL,1,0,0
200604,OD,23,2353,33.203,-119.8446,2006-05-02T04:58:00-07,168586,"Trachurus symmetricus",216,FL,1,0,0
200604,OD,23,2353,33.203,-119.8446,2006-05-02T04:58:00-07,168586,"Trachurus symmetricus",236,FL,1,0,0
200604,OD,23,2353,33.203,-119.8446,2006-05-02T04:58:00-07,173414,"Mola mola",540,FL,0,0,1
200604,OD,25,2355,32.8306,-117.552,2006-05-02T19:49:00-07,82367,Teuthida,87,ML,0,0,1
200604,OD,25,2355,32.8306,-117.552,2006-05-02T19:49:00-07,162575,Myctophidae,103,FL,0,0,1
