OM Sptl. Area;ID;Year;Season;MonthDay;Hauls;Nb. Clusters;Are Sampled (km2);N Est.;Nb. Absent Hauls;Lengths;Est. Ages;n;Latitudes
OM Sptl. Area 1;1;2012;Summer;Aug. 19 - Aug. 23;11;6;506.22 - 2191.96;80001;9;19.8 - 25 cm;3  -  10  yrs;2501;49.36355 - 50.6354
OM Sptl. Area 1;2;2013;Summer;Aug. 21 - Aug. 26;12;8;577.61 - 1695.45;0;12;;;0;49.60065 - 51.1018
OM Sptl. Area 1;3;2014;Summer;Jun. 27 - Jun. 29;5;3;828.12 - 1504.32;0;5;;;0;49.43275 - 50.74185
OM Sptl. Area 1;4;2015;Summer;Aug. 28 - Sep. 04;13;11;711.74 - 1715.72;0;13;;;0;49.5768 - 54.29885
OM Sptl. Area 1;5;2016;Summer;Jul. 06 - Jul. 08;5;3;969.73 - 3528.47;0;5;;;0;49.44305 - 50.6811
OM Sptl. Area 1;6;2017;Summer;Jun. 27 - Jun. 27;2;1;2299.91 - 2299.91;0;2;;;0;49.3883 - 49.60045
OM Sptl. Area 1;7;2018;Summer;Jul. 01 - Jul. 03;5;3;1186.37 - 2358.1;0;5;;;0;49.6438 - 50.6292
OM Sptl. Area 1;8;2019;Summer;Jun. 18 - Jun. 19;4;2;1957.92 - 2377.52;0;4;;;0;49.37085 - 50.132
OM Sptl. Area 1;9;2024;Summer;Sep. 24 - Sep. 25;3;2;690.72 - 734.43;0;3;;;0;49.5176 - 49.8005
OM Sptl. Area 2;1;2003;Summer;Jul. 09 - Jul. 25;34;16;852.52 - 3348.26;3168190;0;15.3 - 28.9 cm;1  -  10  yrs;102360;43.00005 - 48.0002
OM Sptl. Area 2;2;2004;Spring;Mar. 05 - Mar. 18;11;10;667.35 - 1741.21;203447;3;8.1 - 23.7 cm;0  -  8  yrs;7958;42.0042 - 47.01695
OM Sptl. Area 2;3;2004;Spring;Mar. 05 - Mar. 18;11;10;667.35 - 1741.21;203447;3;8.1 - 23.7 cm;0  -  8  yrs;7958;42.0042 - 47.01695
OM Sptl. Area 2;2;2004;Summer;Jul. 11 - Jul. 24;27;17;667.55 - 2923.52;878322;1;10.3 - 26.5 cm;0  -  10  yrs;32314;41.66895 - 47.0007
OM Sptl. Area 2;3;2004;Summer;Jul. 11 - Jul. 24;27;17;667.55 - 2923.52;878322;1;10.3 - 26.5 cm;0  -  10  yrs;32314;41.66895 - 47.0007
OM Sptl. Area 2;4;2005;Spring;Mar. 03 - Mar. 19;17;15;580.95 - 1498.44;488995;0;13 - 25 cm;0  -  10  yrs;16891;41.9859 - 48.0338
OM Sptl. Area 2;5;2007;Summer;Jun. 06 - Jun. 10;9;7;692.85 - 1534.86;204868;3;13.4 - 26.8 cm;1  -  10  yrs;7555;42.9981 - 47.00015
OM Sptl. Area 2;6;2008;Summer;Jul. 05 - Jul. 27;25;17;652.59 - 2109.03;886767;4;17.4 - 25.7 cm;2  -  10  yrs;36242;41.0026 - 48.4185
OM Sptl. Area 2;22;2008;Summer;Jul. 05 - Jul. 27;25;17;652.59 - 2109.03;886767;4;17.4 - 25.7 cm;2  -  10  yrs;36242;41.0026 - 48.4185
OM Sptl. Area 2;7;2011;Spring;Mar. 24 - Mar. 25;3;3;644.85 - 753.43;8;2;14.6 - 14.7 cm;1  yrs;4;46.02805 - 46.75655
